last_name, first_name,player_id,year,player_age,b_total_pa,b_home_run,batting_avg,slg_percent,r_total_stolen_base,r_stolen_base_pct,xba,xslg,exit_velocity_avg,launch_angle_avg,hard_hit_percent,sprint_speed,
Arroyo, Christian,624414,2021,26,181,6,.262,.445,1,,.231,.386,86.3,9.4,35.5,27.9,
Biggio, Cavan,624415,2021,26,294,7,.224,.356,3,,.207,.331,88.9,15.6,31.6,28.3,
Conforto, Michael,624424,2021,28,479,14,.232,.384,1,,.252,.434,88.5,13.2,39.5,27.0,
Frazier, Adam,624428,2021,30,639,5,.305,.411,10,,.287,.374,85.4,12.6,25.2,27.1,
Trevino, Jose,624431,2021,29,302,5,.239,.340,1,,.248,.374,87.5,9.5,36.9,24.5,
Gordon, Nick,624503,2021,26,216,4,.240,.355,10,,.266,.416,91.2,9.4,47.9,27.9,
McGuire, Reese,624512,2021,26,217,1,.253,.343,0,,.236,.327,87.5,13.4,32.7,26.3,
Nunez, Dom,624513,2021,26,263,10,.189,.399,0,,.170,.312,86,21.9,31.2,25.3,
Soler, Jorge,624585,2021,29,602,27,.223,.432,0,,.249,.492,91.2,15.7,47,26.9,
Sosa, Edmundo,624641,2021,25,326,6,.271,.389,4,,.265,.392,86.7,6,32,29.7,
Heredia, Guillermo,628338,2021,30,347,5,.220,.354,0,,.220,.335,86.6,12.5,34.8,27.8,
Hernandez, Yadiel,628450,2021,34,289,9,.273,.413,3,,.240,.402,89.6,5.1,38.2,25.3,
Ibanez, Andy,628451,2021,28,272,7,.277,.435,0,,.263,.413,88.8,15.5,38.6,28.0,
Cronenworth, Jake,630105,2021,27,643,21,.266,.460,4,,.280,.445,88.6,12.5,35,28.5,
Frazier, Clint,640449,2021,27,218,5,.186,.317,2,,.207,.354,86.9,13.9,41.5,27.1,
Meadows, Austin,640457,2021,26,591,27,.234,.458,5,,.239,.422,89.3,21.7,37.9,27.5,
Mercado, Oscar,640458,2021,27,238,6,.224,.369,7,,.216,.326,86.2,16.2,27.7,28.9,
Pinder, Chad,640461,2021,29,233,6,.243,.411,1,,.261,.507,92.6,7.4,54.2,26.6,
Anderson, Tim,641313,2021,28,551,17,.309,.469,18,,.280,.442,89.6,4.3,42.3,28.0,
Bauers, Jake,641343,2021,26,315,4,.209,.277,6,,.232,.359,88.1,20,37.7,27.5,
Bellinger, Cody,641355,2021,26,350,10,.165,.302,3,,.208,.357,89.3,22.2,34.4,28.1,
Calhoun, Willie,641432,2021,27,284,6,.250,.381,0,,.275,.403,90.2,14.9,41.9,26.1,
Collins, Zack,641470,2021,26,231,4,.210,.338,1,,.217,.387,91.1,20.9,44.1,25.2,
Crawford, J.P.,641487,2021,26,687,9,.273,.376,3,,.256,.338,86.3,9.8,30.6,27.5,
Davis, Jonathan,641505,2021,29,103,1,.126,.172,4,,.194,.306,85.1,7.7,25.8,28.8,
Dozier, Hunter,641531,2021,30,543,16,.216,.394,5,,.224,.385,89.9,15.8,42.2,28.2,
Engel, Adam,641553,2021,30,140,7,.252,.496,7,,.263,.433,86.8,14.4,37.4,29.7,
Fraley, Jake,641584,2021,26,265,9,.210,.369,10,,.229,.361,85.3,12.1,33.6,27.7,
Garver, Mitch,641598,2021,30,243,13,.256,.517,1,,.255,.540,92.3,19,53.6,25.6,
Guillorme, Luis,641645,2021,27,156,1,.265,.311,0,,.238,.313,86.4,4.7,22.7,25.9,
Hampson, Garrett,641658,2021,27,494,11,.234,.380,17,,.235,.372,87,13,31.2,29.9,
Heim, Jonah,641680,2021,26,285,10,.196,.358,3,,.229,.370,87.1,15.5,37.9,26.0,
Lewis, Kyle,641786,2021,26,147,5,.246,.392,2,,.252,.471,89.7,16.8,37.6,27.7,
Locastro, Tim,641796,2021,29,156,2,.180,.252,5,,.207,.268,82.1,14.3,16.8,30.7,
Mancini III, Trey,641820,2021,29,616,21,.255,.432,0,,.266,.450,88.9,9.7,42,26.6,
Martin, Jason,641829,2021,26,154,6,.208,.354,3,,.225,.377,87.5,11.4,33.3,27.5,
McKinney, Billy,641856,2021,27,300,9,.192,.358,2,,.213,.359,88.1,17.6,34.6,27.6,
McMahon, Ryan,641857,2021,27,596,23,.254,.449,6,,.242,.424,90.5,14.3,43.5,26.2,
O'Neill, Tyler,641933,2021,26,537,34,.286,.560,15,,.279,.581,93,17.8,52.2,29.7,
Sisco, Chance,642082,2021,26,83,0,.149,.189,0,,.157,.221,83.7,13.8,9.4,24.9,
Smith, Dominic,642086,2021,26,493,11,.244,.363,2,,.261,.418,89,14.9,40.7,26.2,
Tellez, Rowdy,642133,2021,26,325,11,.242,.414,0,,.263,.467,92.2,13.4,48.1,25.1,
Valaika, Pat,642162,2021,29,281,5,.201,.290,1,,.213,.337,86.8,19.8,32.6,27.0,
VanMeter, Josh,642165,2021,26,310,6,.212,.354,3,,.203,.321,89.3,19.6,36.8,26.9,
Wade, Tyler,642180,2021,27,145,0,.268,.323,17,,.194,.242,82.2,5.3,13.8,29.1,
White, Eli,642201,2021,27,220,6,.177,.308,4,,.176,.289,85.5,15.6,22.7,30.5,
